Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Exterior Color,Interior Color,Registration,Ownership,price_display
Porsche 911,https://www.olx.in/item/cars-c84-used-porsche-911-in-rajouri-garden-delhi-iid-1835301823?rank=0,Rajouri Garden,24475000.0,https://apollo.olx.in:443/v1/files/xh2jctgn7oje2-IN/image;s=150x0;q=50;f=webp;,Petrol,,2025.0,895.0,Porsche,,,,1.0,"₹2,44,75,000"
Mercedes-Benz AMG GLE Coupe,https://www.olx.in/item/cars-c84-used-mercedes-benz-amg-gle-coupe-in-rajouri-garden-delhi-iid-1836649741?rank=1,Rajouri Garden,12900000.0,https://apollo.olx.in:443/v1/files/mta7txri1a2y1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025.0,9700.0,Mercedes-Benz,,,,1.0,"₹1,29,00,000"
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1818064951?rank=2,Vikaspuri,13575000.0,https://apollo.olx.in:443/v1/files/ov1ski0o9ysv-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2021.0,52000.0,Land Rover,,,,1.0,"₹1,35,75,000"
Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-paschim-vihar-delhi-iid-1835988678?rank=3,Paschim Vihar,22975000.0,https://apollo.olx.in:443/v1/files/dbww3copx4ls1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024.0,2500.0,Porsche,,,,1.0,"₹2,29,75,000"
BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-paschim-vihar-delhi-iid-1825360473?rank=4,Paschim Vihar,8800000.0,https://apollo.olx.in:443/v1/files/n90pxrsjnnq52-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022.0,44000.0,BMW,,,,1.0,"₹88,00,000"
BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-rajouri-garden-delhi-iid-1805581196?rank=5,Rajouri Garden,9150000.0,https://apollo.olx.in:443/v1/files/v3zczhs2mhl52-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2025.0,12000.0,BMW,,,,1.0,"₹91,50,000"
Lexus LX,https://www.olx.in/item/cars-c84-used-lexus-lx-in-punjabi-bagh-west-delhi-iid-1828945081?rank=6,Punjabi Bagh West,27000000.0,https://apollo.olx.in:443/v1/files/uz29sn8srkvn2-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023.0,10000.0,,,,,1.0,"₹2,70,00,000"
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1828944668?rank=7,Rajouri Garden,22100000.0,https://apollo.olx.in:443/v1/files/pfuwryeouicp2-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023.0,15000.0,,,,,1.0,"₹2,21,00,000"
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1828942135?rank=8,Vikaspuri,22100000.0,https://apollo.olx.in:443/v1/files/e4ibgsq366br3-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023.0,10000.0,,,,,1.0,"₹2,21,00,000"
Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-punjabi-bagh-west-delhi-iid-1836716386?rank=9,Punjabi Bagh West,9500000.0,https://apollo.olx.in:443/v1/files/8mk3chqakvp63-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023.0,320000.0,Mercedes-Benz,,,,1.0,"₹95,00,000"
