,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand
0,Mercedes-Benz S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-s-class-in-punjabi-bagh-west-delhi-iid-1834864248?rank=0,Punjabi Bagh West,13800000,https://apollo.olx.in:443/v1/files/i355lkdgj6232-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2023,12000.0,Mercedes-Benz
1,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-pitampura-delhi-iid-1812014350?rank=1,Pitampura,640000,https://apollo.olx.in:443/v1/files/l255s5sei1eu-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2017,90000.0,Hyundai
2,Mercedes-Benz GLA,https://www.olx.in/item/cars-c84-used-mercedes-benz-gla-in-punjabi-bagh-west-delhi-iid-1836688807?rank=2,Punjabi Bagh West,4200000,https://apollo.olx.in:443/v1/files/4dr78sfcqyj42-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,6200.0,Mercedes-Benz
3,Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-paschim-vihar-delhi-iid-1833886312?rank=3,Paschim Vihar,1800000,https://apollo.olx.in:443/v1/files/0k42887kzsjq1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2016,400000.0,Ford
4,BMW 7 Series,https://www.olx.in/item/cars-c84-used-bmw-7-series-in-rajouri-garden-delhi-iid-1836364955?rank=4,Rajouri Garden,3790000,https://apollo.olx.in:443/v1/files/nanch4yt8k82-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2016,55000.0,BMW
5,BMW 5 Series,https://www.olx.in/item/cars-c84-used-bmw-5-series-in-paschim-vihar-delhi-iid-1836363991?rank=5,Paschim Vihar,2690000,https://apollo.olx.in:443/v1/files/w1m76v7294272-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2018,38000.0,BMW
6,Skoda Octavia,https://www.olx.in/item/cars-c84-used-skoda-octavia-in-paschim-vihar-delhi-iid-1836175364?rank=6,Paschim Vihar,2245000,https://apollo.olx.in:443/v1/files/rgvlclaa72tp3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2022,27000.0,Skoda
7,Maruti Suzuki S-Cross1,https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross1-in-peera-garhi-delhi-iid-1802221393?rank=7,Peera Garhi,425000,https://apollo.olx.in:443/v1/files/cerr0j3vd11r1-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2015,70370.0,Maruti Suzuki
8,Toyota Etios,https://www.olx.in/item/cars-c84-used-toyota-etios-in-raja-garden-delhi-iid-1836176633?rank=8,Raja Garden,248900,https://apollo.olx.in:443/v1/files/fw4dmoiv5w2m3-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2014,66631.0,Toyota
9,Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-tilak-nagar-delhi-iid-1836891483?rank=9,Tilak Nagar,375000,https://apollo.olx.in:443/v1/files/f6vtbqpauztq2-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2017,72000.0,Honda
10,Renault KWID,https://www.olx.in/item/cars-c84-used-renault-kwid-in-raja-garden-delhi-iid-1835050581?rank=10,Raja Garden,199999,https://apollo.olx.in:443/v1/files/jvz6eodlmoti3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2017,46000.0,Renault
11,Renault KWID,https://www.olx.in/item/cars-c84-used-renault-kwid-in-paschim-vihar-delhi-iid-1831707817?rank=11,Paschim Vihar,465000,https://apollo.olx.in:443/v1/files/uhlbbi65wqm62-IN/image;s=150x0;q=50;f=webp;,LPG,Manual,2020,99000.0,Renault
12,Mahindra XUV700,https://www.olx.in/item/cars-c84-used-mahindra-xuv700-in-rajouri-garden-delhi-iid-1835231980?rank=12,Rajouri Garden,1120000,https://apollo.olx.in:443/v1/files/gcg6044leoo9-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2022,62500.0,Mahindra
13,Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-rajouri-garden-delhi-iid-1835231475?rank=13,Rajouri Garden,439999,https://apollo.olx.in:443/v1/files/viz1jam3py4l2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2018,52000.0,Tata
14,Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-vikaspuri-delhi-iid-1834871756?rank=14,Vikaspuri,359000,https://apollo.olx.in:443/v1/files/r11dt2y3zhb03-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2016,64000.0,Maruti Suzuki
