,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand
0,Mercedes-Benz S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-s-class-in-punjabi-bagh-west-delhi-iid-1834864248?rank=0,Punjabi Bagh West,13800000,https://apollo.olx.in:443/v1/files/i355lkdgj6232-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2023,12000.0,Mercedes-Benz
105,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-rajouri-garden-delhi-iid-1835209494?rank=25,Rajouri Garden,11775000,https://apollo.olx.in:443/v1/files/qd9807nano5r-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,10800.0,Land Rover
133,Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-rajouri-garden-delhi-iid-1835208076?rank=13,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/9s7abofwya0i-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022,19480.0,Land Rover
379,Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-vikaspuri-delhi-iid-1834648677?rank=19,Vikaspuri,11900000,https://apollo.olx.in:443/v1/files/q1w8mm0vnvij1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,15000.0,Mercedes-Benz
1477,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1836367259?rank=4,Paschim Vihar,21900000,https://apollo.olx.in:443/v1/files/xcuceygad6dw-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,4000.0,Toyota
1478,Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-paschim-vihar-delhi-iid-1835988678?rank=5,Paschim Vihar,22975000,https://apollo.olx.in:443/v1/files/dbww3copx4ls1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,2500.0,Porsche
1532,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-subhash-nagar-delhi-iid-1836347655?rank=13,Subhash Nagar,8100000,https://apollo.olx.in:443/v1/files/b5xu4hviqhmt1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,19000.0,Mercedes-Benz
1561,Mercedes-Benz G-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-paschim-vihar-delhi-iid-1835890159?rank=2,Paschim Vihar,21975000,https://apollo.olx.in:443/v1/files/sfw7qv9lo42l-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2019,39000.0,Mercedes-Benz
1603,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-rajouri-garden-delhi-iid-1835209494?rank=4,Rajouri Garden,11775000,https://apollo.olx.in:443/v1/files/qd9807nano5r-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,10800.0,Land Rover
1636,Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-rajouri-garden-delhi-iid-1835208076?rank=37,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/9s7abofwya0i-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2022,19480.0,Land Rover
1829,Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-vikaspuri-delhi-iid-1834648677?rank=29,Vikaspuri,11900000,https://apollo.olx.in:443/v1/files/q1w8mm0vnvij1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,15000.0,Mercedes-Benz
1960,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835882437?rank=0,Paschim Vihar,26000000,https://apollo.olx.in:443/v1/files/p5xlj5y5z5jj2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026,23.0,Toyota
2021,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-punjabi-bagh-west-delhi-iid-1832324036?rank=21,Punjabi Bagh West,14800000,https://apollo.olx.in:443/v1/files/s5g8rpuz2qqs1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2017,42650.0,Toyota
2040,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1835299668?rank=0,Rajouri Garden,22975000,https://apollo.olx.in:443/v1/files/swd8yestvlv22-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2025,2000.0,Toyota
2044,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1836800048?rank=4,Rajouri Garden,20900000,https://apollo.olx.in:443/v1/files/3tpsjipw187m1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,15000.0,Toyota
2063,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1834220196?rank=23,Rajouri Garden,12500000,https://apollo.olx.in:443/v1/files/m4xz1ntukdgr3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,5000.0,Toyota
2087,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1823305265?rank=7,Vikaspuri,23100000,https://apollo.olx.in:443/v1/files/1mlswo34r5dh3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,21000.0,Toyota
2120,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-punjabi-bagh-west-delhi-iid-1836960974?rank=0,Punjabi Bagh West,25000000,https://apollo.olx.in:443/v1/files/e38yy3vtktmy2-IN/image;s=150x0;q=50;f=webp;,Petrol,,2024,300.0,Toyota
2121,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1835205431?rank=1,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/t5jjmoqec6qn1-IN/image;s=150x0;q=50;f=webp;,Petrol,,2023,11800.0,Toyota
