Title,Link,Price,Del Price,Information,Image,Year,Brand,Location
N/A,https://www.cars24.com/buy-used-maruti-new-wagon-r-2023-cars-noida-11281762742/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/8861b16c-19ff-11f1-bd51-02ede2007fbe/f1dfe78b-ad07-4712-857c-239bc45ba4d3/78c52887-de72-4673-9bb9-533681dd6311/288bdf5b-42d9-4e95-9801-fea5234a0eee/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-ghaziabad-11236769720/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/cf6a84b0-1957-11f1-bd51-02ede2007fbe/66ad4b03-2012-4cda-bede-2b55776da866/46acd12c-5f32-4f78-bac9-8db0deefea9f/9b76359e-c26f-4e67-b24e-eda542306a02/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-gurgaon-13823465745/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/47f5354c-1921-11f1-bd51-02ede2007fbe/093f3456-90e0-4964-bdcd-0a8323a046eb/f57163e0-3aca-4021-a432-894e0bdeab06/74640cc2-37e0-497f-bf10-a603b9fbc26c/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-new-delhi-10055767739/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/6b9e48dc-07e5-11f1-bd51-02ede2007fbe/9703efbb-e0a6-4ec6-8c65-425d1a5a6fe7/cda4a018-8eb4-45f3-b72d-a04498caaebf/6032b467-469b-4f5c-9600-721eaf1f4ff4/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-noida-11254566746/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/d81739b0-19e7-11f1-bd51-02ede2007fbe/6d402f92-af28-407d-958d-fc62b164a656/8c38a41e-11df-4238-90d9-ab6edc1bc340/54e018f9-7bf0-47da-b11d-8c97a2fa29ed/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-gurgaon-10003262731/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/c3101768-0979-11f1-bd51-02ede2007fbe/919b2387-91d9-45ae-a714-dc09b6cc6631/b9dff36c-eb8f-45b6-96ae-f48347f23cde/3a7901a0-60f5-4f77-b3db-363bb5029a6e/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-ghaziabad-10056161777/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/98116ce8-fd07-11f0-bd51-02ede2007fbe/d47aa07e-426f-46be-94d9-428e02093a74/efdc04c5-1079-4ffe-9003-e84657f9e767/e36bdee3-15ff-4be5-bbc8-ec6359cd18af/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-faridabad-11049561739/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/32b43a0a-04a6-11f1-bd51-02ede2007fbe/b1e2fd6f-3ba3-47fc-8dd5-97f891c24f1b/ecc3e0f5-aac9-4dd9-a08f-dbf14724c246/ae233435-b3e2-435c-80bd-7c5363b78bd6/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-ghaziabad-10598065724/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/3ac11ad8-0c03-11f1-bd51-02ede2007fbe/m/0986ebd4-8a6d-4212-94a3-e7dc5b1d9e88/3bc586c5-7c89-42aa-b2d8-f4f7ab7e4461/00f0033b-bcfd-4430-8882-30c1c0d95c8d/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
N/A,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-gurgaon-10597063741/,N/A,N/A,N/A,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/b02cfe88-12ff-11f1-bd51-02ede2007fbe/246387ef-8fd5-4559-87ef-3256570fa1ae/7b762bca-92c7-46a7-b6ed-109566bac249/d5cf7120-1491-44e8-aaa5-4043e001c7ba/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",N/A,N/A,N/A
