Title,Registered,Fuel,Kms,Price,Image_URL,Sold_Status,URL
2022/23 LAND ROVER DEFENDER 2.0 HSE 110,2023,Petrol,34000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2025-range-rover-velar-dyn-hse/
2015/16 LAMBORGHINI HURACAN COUPE LP 610-4,2016,Petrol,18000,"₹ 2,38,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2015-16-lamborghini-huracan-coupe-lp-610-4-2/
2022/23 MINI COOPER SE 3 DOOR,2023,Electric,5000,"₹ 34,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2017-18-mini-cooper-s-clubman/
2024/25 TOYOTA LAND CRUISER 300,2025,Petrol,7000,"₹ 2,35,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2023-toyota-fortune4-legender-42-auto/
2022 MERCEDES BENZ EQS 53 AMG 4MATIC+,2022,Electric,9000,"₹ 1,25,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2024-26-mercedes-benz-cle-300-cabriolet/
2025 RANGE ROVER VELAR DYN HSE,2025,Petrol,19000,"₹ 84,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2022-23-land-rover-defender-2-0-hse-110-3/
2024/25 AUDI Q3 40 TFSI,2025,Petrol,5100,"₹ 36,50,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2021-23-audi-q7-55-tfsi-premium-plus/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2022-mercedes-benz-eqs-53-amg-4matic/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2021-22-mercedes-benz-glc-200-4matic/
2024/26 MERCEDES BENZ CLE 300 CABRIOLET,2026,Petrol,5000,"₹ 98,00,000","data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Sold,https://fusioncars.in/cars/2021-23-mercedes-benz-amg-a-35-4m-limousine/
