Title,Link,Location,Price,Information,Image,Brand
Kia Sonet,https://www.olx.in/item/cars-c84-used-kia-sonet-in-hingna-midc-nagpur-iid-1836253453?rank=0,Hingna MIDC,"₹ 8,50,000","2021 - 91,003 km",https://apollo.olx.in:443/v1/files/npfqkbzmbw9m1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi Q5,https://www.olx.in/item/cars-c84-used-audi-q5-in-hingna-midc-nagpur-iid-1836252900?rank=1,Hingna MIDC,"₹ 13,99,900","2014 - 76,673 km",https://apollo.olx.in:443/v1/files/9ly7inz7m5rg-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Urban Cruiser,https://www.olx.in/item/cars-c84-used-toyota-urban-cruiser-in-k-r-puram-bengaluru-iid-1836064287?rank=2,K R Puram,"₹ 8,75,000","2022 - 50,212 km",https://apollo.olx.in:443/v1/files/kuwavx82xcji1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Land Rover Range Rover Velar,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-velar-in-sector-44-noida-iid-1836064031?rank=3,Sector 44,"₹ 78,00,000","2024 - 17,000 km",https://apollo.olx.in:443/v1/files/5o6bukw4yfxw2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-k-r-puram-bengaluru-iid-1836063286?rank=4,K R Puram,"₹ 16,95,000","2024 - 41,050 km",https://apollo.olx.in:443/v1/files/o81ndch9twfc3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Swift,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-ayodya-nagar-bengaluru-iid-1836063102?rank=5,Ayodya NagarToday,"₹ 4,85,000","2014 - 28,000 km",https://apollo.olx.in:443/v1/files/yb9n8pc2wii21-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Land Rover Range Rover Sport,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-sector-44-noida-iid-1836062700?rank=6,Sector 44,"₹ 59,90,000","2019 - 70,000 km",https://apollo.olx.in:443/v1/files/idlinfxucvyq1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R-1-0,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-1-0-in-pirthla-faridabad-iid-1834391363?rank=7,PirthlaToday,"₹ 3,25,000","2018 - 70,000 km",https://apollo.olx.in:443/v1/files/nn1xho7dy7502-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Skoda Rapid,https://www.olx.in/item/cars-c84-used-skoda-rapid-in-ayodya-nagar-bengaluru-iid-1834207179?rank=8,Ayodya NagarToday,"₹ 5,00,000","2014 - 43,000 km",https://apollo.olx.in:443/v1/files/bsik45ucg6g71-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-salem-east-old-salem-iid-1831221356?rank=9,Salem East OldToday,"₹ 5,99,000","2014 - 118,000 km",https://apollo.olx.in:443/v1/files/b67kljx6f65v3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-ghatkopar-east-mumbai-iid-1827250047?rank=10,Ghatkopar EastToday,"₹ 1,15,000","2009 - 65,000 km",https://apollo.olx.in:443/v1/files/juthp90tyq1g-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Hilux,https://www.olx.in/item/cars-c84-used-toyota-hilux-in-vile-parle-east-mumbai-iid-1836776643?rank=11,Vile Parle East,"₹ 24,98,000","2023 - 18,000 km",https://apollo.olx.in:443/v1/files/wur2ib3fuxbv1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-chembur-mumbai-iid-1836437736?rank=12,Chembur,"₹ 4,75,000","2019 - 51,000 km",https://apollo.olx.in:443/v1/files/x87gde9hege72-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Vento,https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-chembur-mumbai-iid-1836437293?rank=13,Chembur,"₹ 4,25,000","2014 - 66,000 km",https://apollo.olx.in:443/v1/files/pd7v8sq6gcnv1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Aura,https://www.olx.in/item/cars-c84-used-hyundai-aura-in-vile-parle-east-mumbai-iid-1836063662?rank=14,Vile Parle East,"₹ 5,98,000","2021 - 33,000 km",https://apollo.olx.in:443/v1/files/1dzwigkc53v2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Aura,https://www.olx.in/item/cars-c84-used-hyundai-aura-in-dwarka-mor-delhi-iid-1836063338?rank=15,Dwarka MorToday,"₹ 5,70,000","2021 - 34,000 km",https://apollo.olx.in:443/v1/files/mjgqftigilbv-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-vile-parle-east-mumbai-iid-1836062708?rank=16,Vile Parle East,"₹ 12,98,000","2016 - 150,000 km",https://apollo.olx.in:443/v1/files/tacnp8o2jev9-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Quanto,https://www.olx.in/item/cars-c84-used-mahindra-quanto-in-borivali-west-mumbai-iid-1835871622?rank=17,Borivali West,"₹ 1,99,999","2015 - 75,000 km",https://apollo.olx.in:443/v1/files/5201jj8ac9lt3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-chembur-mumbai-iid-1835871539?rank=18,Chembur,"₹ 12,25,000","2023 - 29,000 km",https://apollo.olx.in:443/v1/files/es9vxyth7dv42-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-vile-parle-east-mumbai-iid-1835871345?rank=19,Vile Parle East,"₹ 18,98,000","2022 - 17,000 km",https://apollo.olx.in:443/v1/files/iessm4mlj6uw-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-chembur-mumbai-iid-1835871123?rank=20,Chembur,"₹ 17,95,000","2019 - 85,000 km",https://apollo.olx.in:443/v1/files/n016qrkhj6fh-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-chembur-mumbai-iid-1835870592?rank=21,Chembur,"₹ 4,45,000","2014 - 34,000 km",https://apollo.olx.in:443/v1/files/fabrnhpd40hc1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-chembur-mumbai-iid-1835870248?rank=22,Chembur,"₹ 8,95,000","2019 - 47,000 km",https://apollo.olx.in:443/v1/files/b1wp1lrggkah-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Skoda Superb,https://www.olx.in/item/cars-c84-used-skoda-superb-in-vile-parle-east-mumbai-iid-1835870415?rank=23,Vile Parle East,"₹ 9,39,000","2016 - 90,000 km",https://apollo.olx.in:443/v1/files/us5gfca59qle3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A6,https://www.olx.in/item/cars-c84-used-audi-a6-in-ashok-vihar-delhi-iid-1835679767?rank=24,Ashok ViharToday,"₹ 10,90,000","2015 - 120,000 km",https://apollo.olx.in:443/v1/files/mte9p05kwahq-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A6,https://www.olx.in/item/cars-c84-used-audi-a6-in-ashok-vihar-delhi-iid-1835678942?rank=25,Ashok ViharToday,"₹ 49,90,000","2024 - 11,000 km",https://apollo.olx.in:443/v1/files/2q2885ano86x2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-kurukshetra-university-kurukshetra-iid-1834764859?rank=26,Kurukshetra UniversityToday,"₹ 3,65,000","2016 - 74,000 km",https://apollo.olx.in:443/v1/files/sl8qgu30x1t41-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-yamuna-nagar-yamunanagar-iid-1834764470?rank=27,Yamuna NagarToday,"₹ 3,60,000","2016 - 74,000 km",https://apollo.olx.in:443/v1/files/o4lrngavlnbh3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-sargota-colony-kaithal-iid-1834763840?rank=28,Sargota ColonyToday,"₹ 4,25,000","2017 - 71,000 km",https://apollo.olx.in:443/v1/files/w3quqpf8kja62-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
