Title,Link,Location,Price,Information,Image,Brand
Tata Safari,https://www.olx.in/item/cars-c84-used-tata-safari-in-rajouri-garden-delhi-iid-1827571027?rank=0,Rajouri Garden5 days ago,"₹ 23,10,000",2025 - 50 km,https://apollo.olx.in:443/v1/files/oyf5dabdnoow1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Jeep Meridian,https://www.olx.in/item/cars-c84-used-jeep-meridian-in-rajouri-garden-delhi-iid-1832800361?rank=1,Rajouri Garden22 Jan,"₹ 24,50,000","2022 - 18,000 km",https://apollo.olx.in:443/v1/files/a593fkaf3ms73-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-rajouri-garden-delhi-iid-1830022605?rank=2,Rajouri Garden28 Feb,"₹ 2,00,000","2014 - 52,000 km",https://apollo.olx.in:443/v1/files/3p301o5q6f5b-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Alto-K10,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-k10-in-pitampura-delhi-iid-1836246599?rank=3,PitampuraToday,"₹ 2,89,000","2018 - 25,000 km",https://apollo.olx.in:443/v1/files/az6zl6momyu93-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-pitampura-delhi-iid-1836263298?rank=4,PitampuraToday,"₹ 3,69,000","2018 - 54,000 km",https://apollo.olx.in:443/v1/files/kfx47vt9m976-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
BMW X3,https://www.olx.in/item/cars-c84-used-bmw-x3-in-paschim-vihar-delhi-iid-1836777091?rank=5,Paschim ViharToday,"₹ 57,90,000","2024 - 16,000 km",https://apollo.olx.in:443/v1/files/obqsbl8rjrnt-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
BMW X3,https://www.olx.in/item/cars-c84-used-bmw-x3-in-rajouri-garden-delhi-iid-1836776646?rank=6,Rajouri GardenToday,"₹ 57,95,000","2024 - 16,000 km",https://apollo.olx.in:443/v1/files/1m4mxztcz2q11-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Dzire,https://www.olx.in/item/cars-c84-used-maruti-suzuki-dzire-in-pitampura-delhi-iid-1835033560?rank=7,Pitampura,"₹ 9,65,000","2025 - 8,800 km",https://apollo.olx.in:443/v1/files/i4y0bgrj3ig42-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi Q3,https://www.olx.in/item/cars-c84-used-audi-q3-in-paschim-vihar-delhi-iid-1834765059?rank=8,Paschim ViharToday,"₹ 11,99,000","2017 - 78,000 km",https://apollo.olx.in:443/v1/files/7q3lgnwlx84b2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-subhash-nagar-delhi-iid-1835311357?rank=9,Subhash NagarToday,"₹ 8,99,000","2020 - 55,000 km",https://apollo.olx.in:443/v1/files/n2ou5a8bf9y5-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
